,Start,End,Style,StyleInd,hasIcon
504,1079.4,1080.9,Ramune,0,True
505,1080.9,1085.46,Ichinose,2,True
506,1085.46,1086.83,Sumire,3,True
507,1086.83,1088.53,Mimitaya,7,True
508,1086.83,1090.53,Question,-1,False
509,1090.76,1092.2,Yakumo,-1,False
510,1093.73,1095.73,Asumi,6,True
511,1095.73,1098.03,Ichinose,2,True
512,1097.43,1099.13,Yakumo,-1,False
513,1098.76,1101.56,Hanabusa,1,True
514,1102.2,1105.63,Hinano,5,True
515,1105.63,1106.9,Yakumo,-1,False
516,1106.03,1106.56,Sumire,3,True
517,1107.03,1109.66,Yakumo,-1,False
518,1109.66,1110.63,Sumire,3,True
